review_category,task,split,study_id,n_tiles
exclude,enteritis,train,Study1,3
exclude,enteritis,train,Study2,3
exclude,enteritis,train,Study3,10
exclude,enteritis,val,Study1,1
exclude,enteritis,val,Study2,1
exclude,enteritis,val,Study3,5
exclude,quality,train,Study1,1
exclude,quality,train,Study2,3
exclude,quality,train,Study3,12
exclude,quality,val,Study1,3
exclude,quality,val,Study2,1
exclude,quality,val,Study3,3
pass,enteritis,train,Study1,2089
pass,enteritis,train,Study2,4421
pass,enteritis,train,Study3,3664
pass,enteritis,val,Study1,523
pass,enteritis,val,Study2,1274
pass,enteritis,val,Study3,1644
pass,quality,train,Study1,2017
pass,quality,train,Study2,4346
pass,quality,train,Study3,4037
pass,quality,val,Study1,670
pass,quality,val,Study2,1499
pass,quality,val,Study3,1346
suspect,enteritis,train,Study1,8
suspect,enteritis,train,Study2,1
suspect,enteritis,train,Study3,3
suspect,enteritis,val,Study1,1
suspect,enteritis,val,Study3,1
suspect,quality,train,Study1,7
suspect,quality,train,Study2,1
suspect,quality,train,Study3,2
suspect,quality,val,Study1,2
suspect,quality,val,Study3,2
